Bader	inter	out	between
010y	0	1.90713226462	280.451282559
038r	0	1.40174042981	27.8333963971
038p	1.48784270828	0.729964581738	486.543547304
048p	0.706786940201	1.17296892245	351.486798804
032y	0.0224760332095	0.00552204316934	45.6947343975
016p	0.171974675622	1.57979502743	292.45303237
010p	1.1325197894	2.51026069057e-05	36.1184298544
051p	0.31783204172	0.0	14.1376950096
035p	1.07755409364	0.503034900463	376.393509736
035r	0	0.00807036584435	30.1520876708
047p	0	0.686147205279	611.109711927
064p	0.148472056133	1.25473981226	118.462107883
055b	0	2.49340504207	202.787481911
043p	1.54578450223	0.766364418875	519.98619639
082w	0	0.225280557851	119.090187593
043w	0	0.50026964824	221.922588658
070y	0.498500701572	4.18924845886	357.997432278
062p	0	0.380187622726	346.692605661
031y	0.0548527930147	0.0012488110069	11.878850209
015p	0.367078558608	1.98713830587	313.052764231
033p	0.428559291795	0.189809896589	174.872399842
049p	1.03353292601	1.8785275531	357.756741871
045p	1.68955843602	0.0092627574279	102.970623811
049y	0	0.969927871681	125.585580373
024y	0.0739535181875	0.743868070073	98.0776282866
013p	0.0441398202825	0.0	5.04017837662
011y	0	1.71255222297	421.784316566
049w	0	0.559242584728	80.847298917
054w	1.11956556953	0.707682133674	452.885882447
034p	0.261031723107	0.258956499808	46.4997082929
063p	0	0.355466155133	216.53038748
050y	0.278407683366	0.13286115226	2.54571756406
040r	0	2.22750212028	386.628397164
067p	0	0.0433102668118	6.99896905559
052w	0	4.01796321039	326.483507299
018p	0.0123490922496	1.63212910077	138.617512083
044p	0.175027519362	1.41400313616	177.05169641
012b	0.206940192368	2.06073198849	125.357753192
056b	0.249275279738	1.57348488863	228.344620939
014p	0.443831348136	2.28591907014	387.181678073
067y	0	0.677624782163	88.449510212
061y	0.757236111359	0.360127469077	256.582454568
020p	0.543188909515	3.01408251605	263.682284059
037w	1.21212483555	0.579498563201	397.325498672
058y	1.27199164597	0.523050763259	422.923074469
046p	0	1.64002470812	738.478915663
009p	0.321163281448	1.7923756849	312.818786089
008p	0	1.16746728498	720.664775137
103w	0.945147206985	0.0092198511333	81.5308079162
050g	0	0.191761924316	103.799423706
020y	0	3.72364550709	201.810071055
