010y	035p	1.37195904117
010y	035r	27.2785721528
010y	047p	65.4189232617
010y	064p	33.5650830372
010y	038p	128.236494973
010y	043p	96.2487732899
010y	016p	137.328876634
010y	043w	52.4732739046
010y	061y	22.4883136726
010y	058y	11.6845010751
010y	044p	38.622058605
038r	040r	0.111923674219
038r	013p	4.51417652595
038r	051p	28.8095123172
038r	052w	1.54579897003
038r	020y	12.2842840418
038r	045p	61.2045781246
038p	035p	2.22617371485
038p	010y	128.236494973
038p	047p	68.3012201076
038p	064p	7.10004704116
038p	043p	438.192261679
038p	016p	2.2993376729
038p	008p	131.990471382
038p	061y	1.53920083125
038p	058y	240.327786709
038p	046p	5.03044007951
038p	044p	2.27927499741
048p	011y	2.02881752775
048p	018p	0.00726523044227
048p	037w	301.685997141
048p	024y	1.59117335338
048p	049p	176.256356182
048p	070y	207.208716964
048p	012b	0.338006935943
048p	020p	26.7151243796
048p	058y	0.835221205818
048p	008p	39.7923337948
048p	047p	0.27409661681
016p	035p	1.30119845279
016p	054w	17.4097249435
016p	010y	137.328876634
016p	047p	43.3432959852
016p	064p	2.08419050607
016p	038p	2.2993376729
016p	043p	84.2626084645
016p	008p	2.73578405264
016p	043w	2.56686376597
016p	061y	149.603863487
016p	063p	2.55551422282
016p	058y	1.44323575327
016p	046p	26.4619913933
016p	044p	165.013118812
010p	013p	1.25449480934
010p	011y	0.0210813854059
010p	051p	45.2843597495
010p	052w	55.130943574
010p	009p	0.0550967493461
010p	020y	22.7559732251
043p	035p	56.9266893272
043p	010y	96.2487732899
043p	047p	4.24460906628
043p	064p	37.0150219331
043p	038p	438.192261679
043p	016p	84.2626084645
043p	061y	6.26755291823
043p	063p	0.813018779877
043p	058y	220.907793697
043p	062p	94.0801419147
043p	046p	10.663799903
043p	044p	44.9744196496
043w	035p	66.9075772795
043w	010y	52.4732739046
043w	016p	2.56686376597
043w	082w	85.8853650695
043w	061y	5.07289535844
043w	063p	1.40285577836
043w	058y	1.65614237407
043w	062p	162.42787364
043w	033p	67.8706247294
043w	044p	21.882101464
043w	050g	26.7001432491
035p	010y	1.37195904117
035p	047p	15.2150133968
035p	064p	99.4134081211
035p	038p	2.22617371485
035p	043p	56.9266893272
035p	016p	1.30119845279
035p	008p	7.54067411658
035p	043w	66.9075772795
035p	061y	225.800265032
035p	063p	5.03863692248
035p	058y	262.915872672
035p	046p	20.0753045023
035p	044p	1.6445931799
035p	050g	39.5708317007
035r	008p	13.6221548267
035r	054w	12.8499038192
035r	010y	27.2785721528
035r	047p	56.5696852746
047p	035p	15.2150133968
047p	035r	56.5696852746
047p	010y	65.4189232617
047p	018p	0.0614892168349
047p	038p	68.3012201076
047p	048p	0.27409661681
047p	037w	4.7756099714
047p	016p	43.3432959852
047p	049w	13.9119780689
047p	008p	338.664672203
047p	061y	1.0196748663
047p	043p	4.24460906628
047p	058y	5.38597139551
047p	046p	566.182098114
047p	044p	20.7492766589
047p	103w	69.4741040614
064p	035p	99.4134081211
064p	010y	33.5650830372
064p	038p	7.10004704116
064p	043p	37.0150219331
064p	016p	2.08419050607
064p	008p	5.67642275226
064p	061y	4.53525246829
064p	058y	1.57214237468
064p	044p	98.7690712697
055b	054w	0.0543855703073
055b	011y	0.208631496654
055b	018p	102.624037832
055b	037w	0.0779979785877
055b	024y	113.369321389
055b	040r	0.573799986959
055b	056b	169.959148697
055b	070y	1.31980660839
055b	012b	13.0472617193
055b	020p	57.8292539305
055b	008p	0.742619759965
055b	020y	0.755508937584
037w	054w	377.284655014
037w	024y	0.939776013896
037w	052w	0.114261660711
037w	018p	0.00404224310377
037w	048p	301.685997141
037w	011y	0.811672067748
037w	049p	13.7266374165
037w	055b	0.0779979785877
037w	070y	16.321707166
037w	012b	9.82759840537
037w	020p	0.200392475602
037w	058y	61.4658655996
037w	008p	60.9980309868
037w	047p	4.7756099714
082w	050y	2.15485018487
082w	034p	1.61610017386
082w	043w	85.8853650695
082w	067y	10.2355231246
082w	062p	1.22753379939
082w	063p	162.78852885
082w	050g	24.723035099
051p	010p	45.2843597495
051p	020y	0.156988006539
051p	038r	28.8095123172
051p	045p	4.6601940294
070y	054w	57.9969002058
070y	024y	26.8800142728
070y	018p	35.4529130155
070y	014p	0.502265971344
070y	048p	207.208716964
070y	037w	16.321707166
070y	049p	351.218708494
070y	056b	4.35231631439
070y	055b	1.31980660839
070y	012b	50.716345332
070y	020p	22.3460640996
070y	008p	1.05460443382
062p	049y	2.15463800176
062p	043p	94.0801419147
062p	082w	1.22753379939
062p	043w	162.42787364
062p	063p	247.44041768
062p	033p	90.4929759712
062p	046p	50.5508161552
062p	050g	95.7711894037
031y	032y	12.0122806392
031y	103w	61.8576229868
015p	040r	0.534125052002
015p	052w	12.3431651385
015p	011y	1.58059756377
015p	045p	4.03336251781
015p	020y	0.205620938471
015p	014p	344.765322945
015p	046p	3.15632697181
015p	067p	3.73153378552
015p	009p	310.463907278
033p	050y	7.42644711432
033p	049y	166.451045331
033p	034p	12.018491963
033p	043w	67.8706247294
033p	067y	1.24151987683
033p	062p	90.4929759712
033p	063p	55.4804330754
